,x
694,유류세 인하 종료 후 휘발유값 35원 급등… 3주 연속 상승
695,2019-09-22 13:27
696,"지난 1일 정부의 유류세 인하 조치가 종료된 후 전국의 주유소 기름값이 지난달 마지막 주 대비 35원가량 올랐다. 3주 연속 가격상승이다.

21일 한국석유공사 유가정보서비스 오피넷에 따르면 9월 셋째주 기준 전국 주유소 휘발유 가격은 전주보다 5.6원 상승한 리터(ℓ)당 1529.1원을 기록했다. 경유도 전주보다 4.5원 오른 리터당 1379.5원이다.

이달 첫째주 23.0원 급상승한 휘발유 값은 둘째주 6.5원, 셋째주 5.6원 올랐다. 리터당 1494.0원이었던 8월 마지막 주와 비교해 3주 동안 35.1원 오른 것이다.

평균 가격이 가장 비싼 SK에너지의 휘발유 가격은 전주 대비 6.1원 오른 1544.3원, 경유는 4.7원 오른 1395.2원으로 나타났다. 알뜰주유소의 휘발유 가격은 6.0원 오른 1502.3원, 경유는 5.3원 오른 1353.3원이다.

지역별 휘발유 가격은 서울이 전주보다 4.9원 상승한 리터당 1632.3원으로 전국에서 가장 비쌌다. 서울 다음으로는 제주(1616원), 경기(1541원), 인천(1536원), 강원·충남(1533원) 순으로 높았다. 가격이 가장 낮은 대구 지역 휘발유 가격은 리터당 1499.7원으로 서울보다 132.6원 낮았다.

석유공사는 “사우디 석유시설 피격에 따른 일시적 생산 중단 및 이에 따른 공급 차질, 중동지역 긴장 고조 등의 영향으로 상승했다”고 설명했다.

주요기사
“장관 정도라면…수사 결과 나오기 전에 다 얘기해야”
자택PC 인턴증명서 직인없는 미완성본…檢, 최종본 조국 관여 의심

박태근 동아닷컴 기자 ptk@donga.com
오늘의 핫이슈"
697,“줄 안 서요”…인천공항 셀프체크인 사용 갈수록 늘어
698,2019-09-22 13:14
699,"전년도 831만회, 월 69만3000회
올 8월까지 월 84만1천건…21.3%↑
셀프백드롭도 15만5000회…16.5%↑

인천공항 출국장에서 셀프체크인서비스를 이용하는 승객들이 해마다 늘어나는 것으로 나타났다.

셀프체크인서비스는 항공사 유인 발권 카운터에서 긴 줄을 설 필요 없이 본인이 직접 여권 스캔 및 항공기 좌석 등 출국수속을 진행하는 시스템이다. 이 때문에 20~30대 이용객은 환영하는 반면, 50~60대 여객들에게는 사용이 어려운 것도 사실이다.

이에 따라 각 항공사들은 셀프체크인 안내만 담당하는 안내요원을 배치하고 있으며, 세계 유수 공항들도 이용객들에게 셀프 체크인 기기 사용을 권고하고 있다.

22일 인천공항공사와 대한항공, 아시아나항공, 제주항공에 따르면 지난해 셀프체크인서비스 이용건수는 831만회, 월평균 69만3000여회로 집계 됐고, 올해 8월까지 이용건수도 673만회로 월평균 84만1000여회로 조사됐다.

주요기사
“장관 정도라면…수사 결과 나오기 전에 다 얘기해야”
자택PC 인턴증명서 직인없는 미완성본…檢, 최종본 조국 관여 의심

전년도와 올해 월평균 이용률로 비교했을 때 약 21.3%가 늘어난 것이다.

특히 인천공항 내 이용객이 가장 많은 대한항공과 아시아나항공은 올해 전체여객 중 각각 55.9%와 38%가 셀프체크인서비스를 이용한 것으로 집계했고, 제주항공도 65%의 이용객이 셀프체크인서비스를 이용하는 것으로 분석했다.

인천공항 내 셀프체크인 서비스를 이용할 수 있는 항공사는 대한항공과 아시아나항공, 저비용항공사(LCC) 등 국적 항공사 7곳과 외국 항공사 9곳 등 총 16개 항공사에 달한다.

승객이 직접 수하물을 부치는 셀프 백드롭(수하물 위탁) 서비스 이용건수도 전년도에 비해 늘고 있다. 인천공항에서 백드롭 서비스 이용이 가능한 항공사는 아시아나와 에어프랑스 등 7곳이다.

인천공항 내 백드랍 서비스 이용건수는 전년도 160만건, 월평균 약 13만3000회로 나타났고 올해 1월부터 8월까지 이용건수도 125만회, 월평균 약 15만5000회로 약 16.5% 증가한 것으로 나타났다.

이에 대해 대한항공 관계자는 “IT 인프라를 통해 셀프체크인 이용률을 꾸준히 증가시켜 왔으며 이달 1일부터는 국내 공항의 일반석 카운터를 셀프 체크인 전용 수하물 위탁 카운터로 전환 운영하고 있다”고 밝혔다.

【인천=뉴시스】"
700,"“떠오른 아세안 5국…韓, 대중 수출의존도 낮출 기회”"
701,2019-09-22 12:27
702,"""글로벌 생산기지 중국에서 아세안 5국으로 이동""

중국이 담당해온 글로벌 생산기지 역할이 아세안(동남아시아국가연합) 5국으로 옮겨가면서 한국 기업들이 적극 대응에 나서야 한다는 분석이 나왔다. 향후 아세안 5국의 외국인 직접투자 유입세가 확대되고 내수시장 규모가 커질 것으로 전망되는 만큼 한국 기업에 있어 대(對)중국 수출 의존도를 낮출 기회가 될 수 있다는 진단이다.

22일 한국은행의 해외경제포커스에 실린 ‘아세안 5국의 외국인직접투자 유입 배경과 전망 및 시사점’ 보고서에서 “글로벌 금융위기 이후 아세안 5국의 경제는 외국인직접투자(FDI) 등에 힘입어 높은 성장세를 지속하고 있다”며 이같이 밝혔다. 아세안 5국은 인도네시아, 말레이시아, 태국, 필리핀, 베트남 등이다.

아세안 5국의 경제성장률은 2010~2018년 중 평균 5.3%를 기록했다. 높은 성장세를 이룬 데에는 외국인 직접투자의 역할이 컸다는 평가다. 아세안 5국에 대한 외국인 직접투자 유입액(유량기준)은 2007년 약 337억달러에서 지난해 686억달러로 2배 이상 확대됐다.저임금 노동력, 천연자원 등을 활용하기 위한 ‘자원추구형 투자’를 중심으로 유입이 이뤄졌다.

중국의 글로벌 생산거점 역할이 축소되면서 아세안 5국에 대한 외국인 직접투자 유입은 지속될 것이라는 전망이다. 미·중 무역분쟁도 아세안 5국에 대한 투자 촉진 요인으로 지목됐다. 중국내 글로벌 기업을 대상으로 실시된 설문조사에서 HP, 델(DELL), 애플, 마이크로 소프트 등 상당수 기업들이 동남아 5국을 포함한 다른 지역으로의 생산기지 이전을 검토하고 있는 것으로 나타났다.

주요기사
“장관 정도라면…수사 결과 나오기 전에 다 얘기해야”
자택PC 인턴증명서 직인없는 미완성본…檢, 최종본 조국 관여 의심

아세안 5국의 내수시장도 커질 것이라고 보고서는 분석했다. 국제통화기금(IMF) 등에 따르면 향후 6년간(2019~2024년중) 아세안 5국의 1인당 GDP는 연평균 4.0% 증가할 것으로 전망됐다. 소비 여력이 확대되면서 시장추구형 외국인 투자 유입이 확대될 것으로 관측됐다.

투자 제약 요인으로는 글로벌 보호무역주의 기조 강화에 따른 분업 유인 약화, 미흡한 기업경영 여건 등이 꼽혔다.

우리나라도 아세안 5국의 높은 성장세를 감안할 때 중장기적인 관점에서 대응이 필요하다는 제안이다. 보고서는 “기업들은 아세안 지역에 대한 투자전략 수립시 조립·가공을 위한 해외 생산기지 구축 외에 내수시장 확보 측면도 고려할 필요가 있다”며 “적절히 대응해 나갈 경우 대중국 수출의존도가 낮아지는 긍정적 효과도 기대할 수 있다”고 강조했다.

【서울=뉴시스】"
703,역시 ‘남달라’…구름 갤러리 몰고 다니는 박성현
704,2019-09-22 12:21
705,"박성현이 22일 강원도 양양 설해원에서 열린 ‘설해원ㆍ셀리턴 레전드 매치’ 두 번째 스킨스매치 1번홀에서 티샷을 날리고 있다. 2019.9.22/뉴스1 ⓒ News1
비오는 궂은 날씨에도 박성현(26·솔레어)의 인기는 식지 않았다.

박성현은 22일 강원도 양양 설해원에서 열린 설해원·셀리턴 레전드 매치 둘째 날 렉시 톰슨(미국), 이민지(호주), 아리야 주타누간(태국)과 함께 스킨스 게임을 벌였다.

제 17호 태풍 ‘타파’의 영향으로 이날 이른 오전부터 비가 내렸지만 갤러리들은 우비를 입거나 우산을 쓴 채 선수들의 플레이를 지켜봤다.

태풍 ‘타파’ 영향으로 궂은날씨가 이어지고 있는 22일 강원도 양양 설해원에서 열린 ‘설해원ㆍ셀리턴 레전드 매치’ 두 번째 스킨스매치를 찾은 갤러리들이 구름관중을 이루고 있다. 이날 대회는 박성현(26), 에리야 쭈타누깐(24·태국), 렉시 톰슨(24·미국), 이민지(23·호주)가 참석했다. 2019.9.22/뉴스1 ⓒ News1
특히 박성현의 인기가 뜨거웠다. 박성현이 티샷을 하기 위해 티잉 그라운드에 올라서거나 퍼트에 성공할 때마다 갤러리들의 환호가 터졌다.

갤러리 중에는 모자나 가방에 ‘남달라’ 배지를 달고 있는 팬들을 쉽게 찾아볼 수 있었다.

주요기사
“장관 정도라면…수사 결과 나오기 전에 다 얘기해야”
자택PC 인턴증명서 직인없는 미완성본…檢, 최종본 조국 관여 의심

‘남달라’는 박성현의 팬클럽 이름으로, 네이버 팬 카페 기준 회원만 9400명이 넘는 꽤 큰 규모를 자랑한다.

21일 설해원·셀리턴 레전드 매치에서 박성현 팬클럽 ‘남달라’의 한 회원이 들고 다닌 깃발. 2019.10.21/뉴스1 ⓒ 뉴스1
남달라 회원들은 국내에서 열리는 대회뿐만 아니라 해외 원정 응원도 마다하지 않는데 21일부터 열린 이번 레전드 매치에도 수 백명의 남달라 회원들이 모였다.

남달라 팬클럽의 지역장을 맡고 있는 한 회원은 “정확하게 추산은 어렵지만 21일은 450~500명, 오늘(22일) 약 400명의 팬클럽 회원이 박성현의 경기를 보러왔다”고 밝혔다.

레전드 매치 첫날인 21일에도 남달라 팬클럽의 응원은 뜨거웠다.

21일에는 박세리(42) 도쿄올림픽 여자골프 대표팀 감독과 아니카 소렌스탐(스웨덴), 로레나 오초아(멕시코), 줄리 잉스터(미국)등 골프전설과 현역 선수들이 2인 1조가 돼 포섬매치를 벌였다.

21일 박성현의 팬클럽이 열어준 생일 파티 모습(박성현 팬클럽 남달라 제공) 2019.09.21/뉴스1 ⓒ 뉴스1
소렌스탐과 호흡을 맞춘 박성현은 최종합계 2오버파 74타로, 오초아-주타누간 조를 1타 차로 꺾고 포섬매치 우승컵을 거머쥐었다.

21일은 박성현의 26번째 생일이었는데, 남달라 회원들은 ‘오늘은 박성현 프로님 귀빠진 날! 생일 축하합니다’라는 문구가 쓰인 깃발을 들고 다녔다.

포섬 매치가 끝난 저녁에는 골프장 근처 한 식당에서 생일파티를 열고 박성현의 생일을 축하했다. 박성현 역시 생일파티에 참석해 자신을 보러 양양까지 찾아와 준 팬들에게 감사의 인사를 전했다.

(양양=뉴스1)"
706,서울 재건축 아파트값 또 올랐다…“상한제 불확실성에 혼란 가중”
707,2019-09-22 11:49
708,"9월 셋쨰주 0.21%↑…올 들어 두번째 상승률
'신중론'에 '들썩'…정부 ""시장상황 보고 시행""

민간택지 분양가상한제 시행 불확실성이 시장 혼란을 부추기고 했다. 내달 주택법 시행령이 발효되지만 상한제 시행 지연 가능성이 제기되면서 상한제 개선안 발표 전후로 안정세를 찾던 서울 강남권 재건축 단지도 다시 꿈틀거릴 조짐을 보이고 있다.

22일 부동산114에 따르면 상한제 개선안 발표 이후 주춤했던 서울 재건축 아파트 가격의 상승폭이 커지면서 지난 20일 기준 서울 아파트값이 14주 연속 상승세를 이어가고 있다.

특히 재건축 아파트가 0.21% 큰 폭으로 오르며 서울 아파트값 상승률 0.07%를 견인했다. 같은 기간 일반 아파트가 0.05% 오른 것과도 큰 차이가 난다.

내달로 예상됐던 상한제 시행 시점이 미뤄질 가능성이 제기되면서 직접적인 영향권에 있는 서울 주요 재건축 단지 가격이 오른데 따른 것으로 풀이된다. 김은진 부동산114 리서치팀장은 “상한제 시행 시기에 대한 불확실성과 추석 연휴로 인한 2주분의 시세 조사분이 반영된 것”이라며 “송파, 강남, 강동 일대 주요 재건축 추진 단지들의 오름폭이 커진 영향”이라고 분석했다.

주요기사
“장관 정도라면…수사 결과 나오기 전에 다 얘기해야”
자택PC 인턴증명서 직인없는 미완성본…檢, 최종본 조국 관여 의심

실제 서울 재건축 아파트값은 지난 4월 셋째주 이후 상승 전환해 18주 연속 올랐는데 상한제 개선안이 발표된 지난달 12일 이후 그 폭이 크게 축소됐다. 지난 7월 둘째주 0.30%까지 올랐던 것이 8월 셋째주 0.02%로 상승폭이 줄었고 같은 달 넷째주 마이너스(-) 0.03%로 하락전환한 뒤 2주 연속 내려갔다.

그러다 이 달 들어 0.04%(6일 기준) 올랐고 20일 기준으론 0.21% 뛰며 올 해 들어 두 번째 높은 상승률을 기록했다.
서울 재건축 아파트값이 다시 꿈틀거리기 시작한 건 국토교통부와 기획재정부, 정치권 간 미묘한 온도차가 읽히면서부터다. 홍남기 경제부총리 겸 기획재정부 장관은 “부작용도 있다”며 ‘신중론’을 제기해 온 데 이어 지난 1일 한 방송 프로그램에 출연해 “10월에 주택법 시행령이 발효된다고 해서 바로 작동하는 것은 아니다. 작동 시기는 국토부가 독자적으로 판단할 문제가 아니고 제가 주재하는 관계장관회의에서 논의할 것”이라고 밝힌 바 있다.

이 때문에 상한제 시행이 지연되는 것 아니냐는 관측이 흘러나왔고 재건축 아파트값이 다시 상승세로 돌아서는 등 시장은 즉각 반응했다.

다만 아직 상한제 확대 방안을 담은 주택법 시행령이 아직 발효되지 않은데다 정부가 주택시장 움직임을 주시하고 있는 만큼 예단해서는 안 된다는 시각도 있다.

주택법 시행령은 지난달 14일부터 이달 23일까지 40일 간의 입법예고 기간을 거친 뒤 관계기관 협의, 법제처 심사, 국무회의 등을 거쳐 내달 초 공포·시행될 예정이다. 구체적인 적용 지역과 시기는 이후 주거정책심의위원회에서 결정한다.

국토부도 정부부처 간 이견이나 내년 총선을 고려한 시기 지정 가능성 등을 일축하고 있다. 국토부 관계자는 “주택시장 안정을 위해 분양가가 안정돼야 한다는 데에는 당과 정부부처 모두 이견이 없다”며 “상한제 시행 여부는 100% 시장 상황에 달려 있다”고 말했다.

【서울=뉴시스】"
709,"돼지열병 이틀째 ‘잠잠’…정부, 공항·항만 국경검역에 총력"
710,2019-09-22 11:49
711,"아프리카돼지열병(ASF)이 국내에선 처음으로 발생한 지 이틀 만에 경기 파주시 소재 농가에서 의심 신고가 접수됐지만, 확진이 아닌 것으로 나타나 방역 당국은 또 다시 한숨을 돌리게 됐다.

정부는 ASF 확진 판정을 받은 파주시와 경기 연천군에서의 돼지 살처분 작업을 22일 이날 중으로 마무리할 계획이며 ASF 발생국으로부터의 축산물 유입을 막기 위한 국경 검역에도 총력을 기울일 방침이다.

이날 농림축산식품부에 따르면 지난 20일 이후 현재까지 추가적인 ASF 의심 신고는 접수되지 않았다. 이로써 현재까지 ASF가 확진된 곳은 파주시 연다산동과 연천군 백학면 농장 2곳이다.

지난 20일 파주시 적성면과 파평면에서 추가로 2건의 의심 신고가 접수되면서 확산 우려가 커졌지만, 농림축산검역본부의 정밀 검사 결과 두 농가는 21일 새벽께 확진이 아닌 음성 판정을 받았다.

주요기사
“장관 정도라면…수사 결과 나오기 전에 다 얘기해야”
자택PC 인턴증명서 직인없는 미완성본…檢, 최종본 조국 관여 의심

ASF가 확진된 농가를 기준으로 진행되고 있는 살처분 작업은 1개 농가에서 매몰 작업 중으로, 이날 낮 12시께 완료할 예정이다.

파주 농장 3곳(4927두)에선 이미 완료된 지 오래다. 연천 농장은 총 4곳(1만406두) 중에서 8716두에 대한 살처분이 완료된 상태다. 잔여 두수는 1690두다.

ASF가 발생한 농가와 역학(질병의 원인에 대한 연구) 관련이 있는 농가와 방역대 내에 위치한 농가에 대한 정밀 검사(채혈 검사)는 파주 324농가, 연천 220농가를 대상으로 이뤄지고 있다. 현재까지 파주에선 66농가가, 연천에선 32농가가 음성 판정을 받았다.

방역대 내 농가와 더불어 차량·도축장 역학 농가를 대상으로 진행되는 전화 예찰을 통해서는 지금까지 721호 중 631호 농가가 이상이 없었던 것으로 파악됐다.

정부는 파주·연천·포천·동두천·철원·김포 등 6개 시·군을 중점관리지역으로 지정하고 방역을 집중하고 있다. 소독 차량 66대를 동원해 437호 농가에 대한 소독을 마쳤고, 1만7900포의 생석회 도포를 완료했다. 이밖에 거점소독시설(15개소), 통제 초소(36개소), 농장 초소(242개소) 등을 설치·운영하며 출입 차량 등을 관리하고 있다.
주말 중 제17호 태풍 ‘타파’(TAPAH)가 북상하면서 방역에 차질이 빚어질 가능성도 제기됐다. 경로상 태풍이 ASF가 발생한 경기 북부 지역을 직접적으로 강타하진 않을 것으로 보이지만, 전국적으로 비가 내리면서 소독약과 생석회 등이 씻겨내려 가거나 축사 내 누수 등이 나타날 수 있는 상황이다. 정부는 태풍이 지나간 즉시 대대적인 소독 작업에 착수할 수 있도록 생석회 재고분 등을 점검할 계획이다.

아울러 농식품부와 식품의약품안전처, 관세청 등은 공항·항만에서의 검역에도 힘쓰고 있다. 지난 21일 평택항에 이어 검역 현장에 대한 집중 점검에 들어갈 계획이다.

정부는 지난 18일부터 ASF 발생국에서 입국하는 모든 여행객의 수화물을 일제 검색해 축산물이 불법으로 국내에 반입되지 않도록 관리하고 있다. 검사 대상에 오르는 위험 노선은 인천 공항에서 주당 378편, 김해 공항은 77편으로 기존의 3배로 확대했고, 그 외 공항에선 모든 수화물에 대해 엑스레이(X-ray) 검사를 진행한다.

해외 여행객이 축산물을 불법으로 반입한 후 검역 기관에 신고하지 않으면 최초 500만원의 과태료가 부과된다. 반복될 경우 벌금액은 최대 1000만원까지 오르며 납부하지 않을 땐 재입국이 금지된다. 농식품부는 지난 21일까지 중국인 6명, 한국인 5명, 우즈베키스탄 3명, 캄보디아 2명, 몽골·태국·필리핀·베트남 각 1명 등에 대해 총 20건의 과태료를 부과했다.

국내에 반입돼 유통되는 외국산 축산물에 대한 집중 단속도 이뤄진다. 식약처는 월 2회 외국 식료품 판매업소를 상시 점검하고 있으며 검역본부 및 지방자치단체와 함께 하는 특별 단속은 수시로 진행된다.

한편 돼지고기 도매가격은 경매 시장이 마지막으로 열린 지난 20일 기준 ㎏당 5017원으로 전날보다 13.9% 하락했다. 지난 16일 4403원에서 ASF가 첫 발생한 17일 5838원, 18일 6201원으로 뛰었다가 안정되는 모양새다. 단기적인 가격 급등은 전국적인 ‘일시이동중지명령’(스탠드스틸·Standstill)에 따른 일시적 현상이라고 농식품부는 분석했다.

【세종=뉴시스】
아프리카돼지열병 국내 첫 발생
이낙연 총리 “돼지열병, 임진강변서 집중 발생…충분히 소독해야”
아프리카돼지열병 전파는 차량이?…1~4차 농가 모두 연관
인천 강화에서도 ‘돼지열병’ 의심축…“확산 우려”"
712,내년 한국 성장률 2.3% 전망…금융위기 이후 여전히 미약
713,2019-09-22 11:10
714,"ⓒ News1

내년 한국경제 성장률의 증가세가 미약할 것으로 전망됐다. 올해보다는 소폭 상승하지만 여전히 2008년 금융위기 이후 최저 수준에서 그칠 것으로 예상됐다. 한국의 경제성장률은 2012년부터 2018년까지 2.4%~3.2%대에 머물렀다. 작년 경제성장률은 2.7%였다.

현대경제연구원은 22일 ‘2020년 한국 경제 전망’ 보고서를 통해 내년 한국 경제 성장률이 2.3%가 될 것이라고 전망했다. 연구원은 “내수 부문 중 민간소비는 정부의 지원에도 불구하고 양질의 일자리 증가 제약으로 증가세가 미약할 것으로 전망된다”며 “투자도 전반적인 경기 불안 지속 및 장기간의 둔화 추세였음을 감안하면 경제 성장률을 이끌 동력은 미흡할 것으로 예상된다”고 설명했다.

민간소비에서는 정부의 확장적 재정정책과 노동시장의 소폭 개선, 시장이자율 하락에 따른 이자 부담 완화 등이 긍정적인 요인으로 지목됐다. 그러나 양질의 일자리 증가 미흡, 확산되는 경기 둔화 우려에 따른 소비심리 악화 등이 민간소비 회복을 제한할 것으로 전망됐다.

연구원은 “건설투자 증가율은 마이너스 폭이 축소될 전망이고, 설비투자는 내년 증가세로 전환될 것”이라며 “설비투자는 2019년 감소에 대한 기저효과에 더해 반도체 경기 회복에 대한 기대감, 정부의 혁신성장 기조 지속 등에 따라 소폭 회복할 것으로 보인다”고 밝혔다.

주요기사
“장관 정도라면…수사 결과 나오기 전에 다 얘기해야”
자택PC 인턴증명서 직인없는 미완성본…檢, 최종본 조국 관여 의심

수출에 대해 연구원은 “올해 대비 소폭 반등할 것이지만 글로벌 보호무역주의 흐름, 중국의 경기 둔화추세 지속 등으로 반등폭은 크지 않을 것”이라고 전망했다. 물가상승폭은 국제 유가 등 원자재 및 농축수산물 가격 상승 등이 공급측 물가 상승 압력으로 작용할 것으로 예상됐다. 그러나 경제성장률과 민간소비 회복세가 미약해 수요측 물가상승 압력은 제한적일 것으로 전망됐다.

고용에 대해 연구원은 “실업률은 하락하고, 신규 취업자수는 소폭 둔화될 전망”이라며 “제조업 구조조정 영향 완화와 인구구조 변화로 인한 노동 공급 감소 등이 실업율 하락 압력으로 작용할 전망”이라고 설명했다. 연구원은 이어 “또 정부의 공공 일자리 확대 정책 등으로 신규 취업자수 증가세가 유지될 것으로 예상된다”며 “그러나 전반적으로 미약한 경기 회복세가 지속되면서 고용지표 개선은 제한적일 것으로 보인다”고 덧붙였다.

연구원은 “한국 경제의 회복세 확대를 위해서는 확장적·효율적 재정집행, SOC조기 착공 및 규제 개혁 노력의 현실적인 결실 등을 시급히 추진해야 하고, 양질의 일자리 확대와 가계소득 증가 등 실질구매력 확충, 소비심리 악화를 막아야 한다”며 “중장기적 성장 잠재력을 높이기 위한 투자 활성화 노력 지속, 건설투자 위축 완화를 위한 공공주택 발주 확대, 수출 품목 및 시장 다변화가 필요하다”고 제언했다.

연구원은 이어 “경제주체들의 미래 기대심리 악화를 방지하고, 비용상승형 물가상승이 국내 경제에 부담으로 작용하지 않도록 물가관리 체계를 강화해야 한다”며 “양질의 일자리 확충 및 일자리의 질을 높이기 위한 노력 지속, 노동생산성 확충을 통한 성장잠재력 확충도 필요하다”고 덧붙였다.

(서울=뉴스1)"
715,지난해 연봉 1억 이상 근로자 3.2%…대기업 평균 6487만원
716,2019-09-22 11:09
717,"2018년 우리나라 임금근로자 연봉금액별 추이(자료=한국경제연구원) ⓒ 뉴스1
우리나라에서 월급과 상여금, 성과급 등을 모두 더한 ‘연봉’이 1억원 이상인 근로자가 50만명 미만으로 전체의 3.2%인 것으로 나타났다. 대기업 정규직 근로자의 평균 연봉은 6487만원, 중소기업의 경우는 3771만원으로 조사됐다.

22일 한국경제연구원이 고용노동부의 ‘고용형태별 근로실태조사’ 자료를 받아 임금근로자 1544만명을 분석한 결과 연봉금액이 1억원 이상인 사람은 약 49만명으로 나타났다. 이는 전체 근로자의 3.2%에 해당되는 수치다.

한경연은 연봉을 6월 급여액을 1년간 받는다는 것을 가정해 12를 곱한 뒤 전년도 연간 상여금과 성과급 총액을 더하는 방식으로 계산했다.

이어서 8000만원~1억원 미만 근로자는 56만명으로 전체 근로자의 3.6%인 것으로 나타났다. 근로자의 비중이 가장 높은 연봉액은 2000만원~4000만원 미만으로 43.9%(약 678만명)에 달했다.

연봉이 2000만원 미만인 근로자도 392만명에 달해 전체의 25.4%를 차지했다. 연봉이 4000만원 미만인 근로자가 전체 임금근로자 10명 중 약 7명(69.3%)에 달한다는 의미다.

주요기사
“장관 정도라면…수사 결과 나오기 전에 다 얘기해야”
자택PC 인턴증명서 직인없는 미완성본…檢, 최종본 조국 관여 의심

임금근로자의 연봉을 소득분위에 따라 나눌 경우 가장 많은 금액을 받는 10분위(상위 0~10%)의 연봉하한액은 6950만원으로 분석됐다. 6950만원 이상 연봉을 받으면 한국 임금근로자의 상위 10%에 해당된다는 얘기다. 10분위 근로자의 평균연봉은 9931만원으로 1억원에 육박했다.

2018년 한국 임금근로자 연봉분위별 하한액과 추이(자료=한국경제연구원) ⓒ 뉴스1
이어서 9분위 이하 연봉하한액의 경우는 Δ9분위(10~20%) 5062만원 Δ8분위(20~30%) 4064만원 Δ7분위(30~40%) 3380만원 Δ6분위(40~50%) 2864만원 Δ5분위(50~60%) 2434만원 Δ4분위(60~70%) 2153만원 Δ3분위(70~80%) 1888만원 Δ2분위(80~90%) 1166만원 Δ1분귀(90~100%) 72만원으로 나타났다.

2018년 국내 임금근로자 1544만명의 평균연봉은 3634만원으로 전년(3475만원) 대비 4.6% 증가한 것으로 나타났다. 특히 연봉 분위별 증감률을 살펴보면 고소득자로 분류되는 10분위와 9분위의 경우 전년 대비 증감률이 각각 3.2%, 3.1%로 나타났다.

같은 기간 연봉 증감률이 가장 높은 분위는 3분위(70~80%)로 전년 대비 10.4% 늘어난 것으로 조사됐다. 그러나 단순 금액 기준으로 계산할 경우엔 10분위 근로자가 311만원 늘어난 반면 3분귀 근로자는 187만원에 그쳤다.

기업 규모별로 임금근로자 평균 연봉을 살펴본 결과 대기업 정규직의 2018년 평균 연봉은 6487만원으로 집계됐다. 이는 지난해보다 27만원(0.4%) 늘어난 수준이다.

고용 규모 300인 미만 중소기업 근로자의 경우는 지난해 평균 연봉이 3771만원으로 전년 대비 4.9%(176만원) 증가했다.

추광호 한경연 일자리전략실장은 “2018년 평균연봉 인상률은 전년 2.2%보다 2.4%p 상승했다”면서 “글로벌 금융위기 이후 한국의 제조업 노동생산성 증가율은 감소한 반면 단위노동비용 증가율은 늘어나고 있어서 생산성과 연동된 임금 인상이 이뤄질 필요가 있다”고 말했다.

(서울=뉴스1)"
718,태풍에 돼지열병 소독약 씻길 우려…정부 “비 그치면 즉시 소독”
719,2019-09-22 9:57
720,"생석회·소독약 비축물량 점검 지시…축사 내부소독 당부
""태풍에 농업 큰피해 우려""…농업인에 야외활동 자제 당부

김현수 농림축산식품부 장관은 22일 “양돈 농가와 지방자치단체, 농협은 비가 그치면 곧바로 소독 작업을 실시할 수 있도록 사전 준비에 만전을 기해 달라”고 당부했다.

김 장관은 이날 오전 제17호 태풍 ‘타파’(TAPAH)와 아프리카돼지열병(ASF) 대응 상황을 점검하기 위한 회의를 열고 “비가 많이 오면 소독약과 생석회 등이 모두 씻겨 나간다”며 이같이 말했다.

김 장관은 “원점으로 돌아가 축사 내외부와 진입로에 대해 대대적인 소독을 실시해야 한다”며 “방역에 투입될 인력과 소독 차량을 미리 준비하고 생석회와 소독약 사용에 차질이 없도록 비축 물량을 사전에 점검하라”고 강조했다.

농업인들에 대한 당부도 잊지 않았다.

주요기사
“장관 정도라면…수사 결과 나오기 전에 다 얘기해야”
자택PC 인턴증명서 직인없는 미완성본…檢, 최종본 조국 관여 의심

김 장관은 “태풍이 지나는 동안 축사 내부 소독을 지속해서 실시해달라”며 “축사 내 누수, 온도·습도 관리와 함께 돼지의 건강 상태도 꼼꼼히 확인하라”고 했다. 또 “태풍이 지나간 내일 아침부터는 축사 시설과 울타리의 파손 여부를 점검하고 충분한 환기를 통해 사육 환경을 관리해달라”고 말했다.

앞서 지난 20일 경기 파주시 소재 돼지 농가 2곳에서 접수된 ASF 의심 신고가 정밀 검사 결과 모두 ‘음성’으로 판정되면서 ASF가 확산될 우려는 덜었다. 현재까지 국내에서 ASF가 확진된 곳은 파주시 연다산동과 경기 연천군 백한면 총 2곳이다.

한편 태풍 타파가 북상하면서 남부 지방을 중심으로 강한 바람이 일고 최대 400㎜ 이상의 비가 올 것으로 예상되는 상황이다.

김 장관은 “농업 분야에 큰 피해가 우려된다”며 ‘태풍이 지나가는 동안 인명 피해 예방이 가장 중요한 만큼 농작업과 야외 활동을 자제해 달라“고 당부했다.

김 장관은 ”모든 농업 관련 기관은 태풍 피해에 즉시 대처할 수 있도록 긴장감을 갖고 비상 근무에 임하라“며 ”태풍 이후엔 농작물과 시설에 대한 피해 상황을 조속히 파악해 응급 복구 등 지원을 빠르게 진행하라“고 지시했다.

【세종=뉴시스】
아프리카돼지열병 국내 첫 발생
이낙연 총리 “돼지열병, 임진강변서 집중 발생…충분히 소독해야”
아프리카돼지열병 전파는 차량이?…1~4차 농가 모두 연관
인천 강화에서도 ‘돼지열병’ 의심축…“확산 우려”"
721,"안병훈, 샌더스 팜스 챔피언십 3R 선두에 2타 뒤진 ‘단독 3위’"
722,2019-09-22 9:54
