"","x"
"505","“조국 퇴진할 떄까지”…부산시민연대 매주 ‘촛불집회’ 연다"
"506","2019-09-23 20:04"
"507","23일 오후 부산 서면 비즈니스호텔에서 열린 ‘조국 파면 부산시민연대 연석회의’에서 하태경 바른미래당 부산시당 위원장이 조국장관 규탄 발언을 하고 있다. 2019.9.23 ⓒ 뉴스1

전국 최초로 조국 법무부장관 파면을 위해 구성된 ‘조국파면 부산시민연대’(이하 시민연대)가 조 장관이 퇴진할 때까지 매주 토요일 부산에서 촛불집회를 개최한다. 또 조 장관 자녀 입학 및 장학금 특혜 의혹이 불거진 부산대학교를 방문해 부산대 총장 면담에 나선다.

시민연대는 이날 오후 부산 서면 비즈니스호텔에서 제1차 시민연석회의를 열고 이같은 내용의 향후 활동계획을 결정했다.

시민연대는 조국 장관 퇴진을 부산지역 주요 시민단체와 정치권이 모두 모여 한 목소리를 내는 단체다. 앞서 하태경 위원장이 제안하고 유재중 위원장이 호응하면서 구성됐다.

지난 20일에는 부산 서면 금강제화 앞에서 조국 장관 퇴진을 촉구하는 첫 번째 촛불집회를 열며 본격 활동을 알렸다.

주요기사
“조국 여론 심상치 않아…지도부, 출구전략 마련을”
자택PC 인턴증명서 직인없는 미완성본…檢, 최종본 조국 관여 의심

이날 집회에는 한국당 황교안 대표, 나경원 원내대표, 유재중 부산시당 위원장을 비롯한 주요 인사와 이성권 바른미래당 부산시당 부위원장 등 보수정치인이 대거 참석했다.

주최 측이 3만명이 모였다고 밝힐 만큼 촛불집회는 성황을 이뤘다. 하지만 보수정치인과 보수 핵심 지지층으로 꼽히는 중장년층만 대거 참석해 ‘시민 공감을 얻는데 부족했다’는 지적이 나오기도 했다.

하지만 연석회의에 황주환 부산지방변호사회 수석 부회장, 추교용 부산시의사회 부회장, 이만수 부산 경실련 상임고문 등 지역 시민사회와 유재중 한국당 부산시당위원장, 하태경 바른미래당 부산시당위원장 등 정치권 인사 등 26명이 이름을 올리면서 외연을 확장하고 있다.

이날 회의에서는 문재인 대통령과 조 장관을 향한 비판의 목소리가 쏟아졌다.

이만수 부산 경실련 상임고문은 “‘법은 최소한의 도덕’이라고 하는데, 조 장관은 법적으로 유죄 판결이 나지 않았을지 모르지만, 도덕적으로 ‘사망’상태라고 본다”라며 “이런 분이 법을 다루는 수장으로 검찰 개혁하겠다고 할 때 누가 공감하겠나. 검찰 개혁 이전에 조국 장관 본인 양심부터 개혁해야한다”고 비판했다.

유재중 위원장은 “오늘 조국 자택에 압수수색이 들어갔다. 이게 무슨 일인가. 정말 부끄럽다”며 “제일 공정해야 할, 법치주의를 지켜야 할 법무부 장관이 이게 뭐냐”며 이같이 말했다.

하태경 위원장은 “갈등, 혼란을 일으킨 장본인이 조국이 아니라 문 대통령이다. 임명을 안했으면 이런 문제가 발생하지 않았을 것”이라며 “문 대통령은 사리분별이 전혀 안 되는 사람”이라고 힐난했다.

그러면서 “조국이 장관 자격이 있는지 없는지 판단하는 문제가 그렇게 어렵나. 굉장히 쉬운 문제 아니냐”라며 조 장관과 그를 임명한 문 대통령을 재차 겨냥했다.


(부산=뉴스1)

꼬리 무는 조국 의혹
“사퇴하기 좋은 시점”vs “검찰 고발 검토”…檢 압수수색 공방
조국, 검사들에 이메일…“검찰 개혁, 직접 듣겠다”
조국 자택 ‘11시간 압색’ 논란에…檢 “영장 추가발부 탓”"
"508","조국, 자택 압수수색에 “강제수사 경험한 국민 심정 절실히 느껴”"
"509","2019-09-23 20:04"
"510","조국 법무부 장관이 23일 오전 서울 서초구 방배동 자택을 나서고 있다. News1

조국 법무부장관이 23일 검찰의 자택 압수수색과 관련해 “강제수사를 경험한 국민들의 심정을 절실하게 느끼고 있다”고 말했다.

조 장관은 이날 오후 6시30분께 정부과천청사 법무부 퇴근길에 “오늘의 압수수색에 대해서는 특별히 드릴 말씀이 없다”는 입장을 밝히며 이같이 말했다.

그는 “저와 제 가족에게는 힘든 시간이지만, 그래도 마음을 다잡고 검찰개혁과 법무 혁신 등 법무부 장관으로서 소임을 다할 수 있도록 노력하겠다”고 덧붙였다.

‘압수수색에 대해 보고를 받았나’ ‘휴대전화를 제출했나’ 등 이어진 취재진의 질문에는 답하지 않았다.

주요기사
“조국 여론 심상치 않아…지도부, 출구전략 마련을”
자택PC 인턴증명서 직인없는 미완성본…檢, 최종본 조국 관여 의심

검찰은 이날 오전 조 장관 자택을 비롯해 자녀들의 입시 의혹과 관련해 연세대 대학원 교학팀과 이화여대 입학처, 아주대·충북대 법학전문대학원(로스쿨)에서 압수수색을 벌였다. 검찰이 검찰을 관할하는 현직 법무부 장관을 자택을 압수수색한 것은 사상 처음이다.


(서울=뉴스1)

꼬리 무는 조국 의혹
“사퇴하기 좋은 시점”vs “검찰 고발 검토”…檢 압수수색 공방
조국, 검사들에 이메일…“검찰 개혁, 직접 듣겠다”
조국 자택 ‘11시간 압색’ 논란에…檢 “영장 추가발부 탓”"
"511","한강 이남 뚫렸다…파주·연천 이어 김포서 돼지열병 확진"
"512","2019-09-23 19:58"
"513","아프리카돼지열병(ASF)이 결국 한강 이남까지 확산됐다.

농림축산식품부는 23일 경기 김포시 소재 돼지농장에서 접수된 아프리카돼지열병(ASF) 의심 신고에 대한 정밀 검사 결과 이날 오후 7시30분께 확진 판정이 났다고 밝혔다.

지난 20일 파주시 적성면과 파평면에서 접수된 의심 신고는 음성 판정을 받았지만, 이날 김포에서 확진 판정이 나면서 확산 우려가 한층 고조됐다.

이로써 이날까지 ASF가 확진된 곳은 파주시 연다산동(16일)과 경기 연천군 백학면(17일)을 포함해 총 3곳이다.

주요기사
“조국 여론 심상치 않아…지도부, 출구전략 마련을”
자택PC 인턴증명서 직인없는 미완성본…檢, 최종본 조국 관여 의심

농식품부는 확진 판정에 따라 즉시 살처분 작업에 들어갔으며 발생 원인을 파악하기 위한 역학 조사를 진행 중이다. 3㎞ 이내 살처분 대상은 총 3275마리다.

농식품부 관계자는 “축산 농가와 축산 관계자는 농장과 관련 시설에 대한 소독 등 방역 조치를 철저히 이행하고 면밀한 임상 관찰을 통해 의심 축이 발견되면 신속히 신고해 달라”고 당부했다.

【세종=뉴시스】
아프리카돼지열병 국내 첫 발생
‘아프리카돼지열병 확산 우려’…최대 축산단지 충남 위기감 고조
ASF 정밀검사 ‘음성’ 판정 사흘만에 ‘확진’ 허점 드러냈다
ASF 발생 김포 돼지농장 방문 사료차량, 충북 음성·진천 경유"
"514","학대 당한 장애인 10명 중 7명 정신적 장애…신체·경제 착취 절반 이상"
"515","2019-09-23 19:38"
"516","지난해 학대를 당한 장애인 10명 중 7명은 지적장애, 정신장애, 자폐성장애 같은 정신적 장애가 있는 것으로 나타났다.

보건복지부와 장애인권익옹호기관은 지난해 장애인권익옹호기관에 접수된 장애인 학대 신고 3658건을 분석한 결과인 ‘2018 전국 장애인 학대 현황보고서’를 23일 발표했다. 국가 차원의 첫 장애인 학대 분석이다.

보고서에 따르면 지난해 학대 사례 889건 가운데 피해자의 74.1%는 정신적 장애를 앓고 있었다. 지적장애 피해자가 66.0%였고 정신장애(5.6%), 자폐성장애(2.6%) 피해자도 있었다.

학대행위 가해자는 장애인 복지시설, 교육기관 등 관련 기관 종사자가 39.3%로 가장 많았다. 가족 및 친인척도 30.5%에 달했고 지인, 고용주, 이웃을 비롯한 타인도 29.7%로 뒤를 이었다. 학대 유형별로는 신체적 학대가 27.5%로 가장 많았고 경제적 착취 24.5%, 방임 18.6%, 정서적 학대 17.9% 순이었다.

주요기사
“조국 여론 심상치 않아…지도부, 출구전략 마련을”
자택PC 인턴증명서 직인없는 미완성본…檢, 최종본 조국 관여 의심

학대를 받은 장애인이 스스로 피해 사실을 신고한 경우는 10.6%에 불과했다. 장애인학대 신고 의무자 가운데는 사회복지 전담공무원이 22.9%였다. 국민연금공단, 국민건강보험공단 등 신고 의무가 없는 기관종사자가 신고한 경우는 22.2%를 차지했다.

위은지 기자 wizi@donga.com"
"517","조국, 자택 압수수색에 “강제수사 경험한 국민 심정 절실히 느껴”"
"518","2019-09-23 19:03"
"519","조국 법무부 장관이 23일 오전 서울 서초구 방배동 자택을 나서고 있다. 사진=뉴스1


검찰이 23일 조국 법무부 장관의 자택을 전격 압수수색한 가운데, 조 장관은 “힘든 시간이지만 마음을 다잡겠다”고 밝혔다.

조 장관은 이날 오후 6시 30분경 정부과천청사 퇴근길에 기자들을 만나 “오늘의 압수수색에 대해서는 제가 특별히 드릴 말씀이 없다”라면서도 “강제수사를 경험한 국민들의 심정을 절실하게 느끼고 있다”고 밝혔다.

조 장관은 “저와 제 가족에게는 힘든 시간이지만, 그래도 마음을 다잡고 검찰개혁, 법무부 혁신 등 법무부 장관으로서의 소임을 다하기 위해 노력하겠다”고 했다.

주요기사
“조국 여론 심상치 않아…지도부, 출구전략 마련을”
자택PC 인턴증명서 직인없는 미완성본…檢, 최종본 조국 관여 의심

조 장관은 압수수색을 미리 보고받았는지, 휴대전화를 제출했는지 등을 묻는 취재진의 질문에는 아무런 답도 하지 않은 채 청사를 떠났다.

앞서 서울중앙지검 특수2부(고형곤 부장검사)는 이날 오전 9시경부터 서울 방배동에 위치한 조 장관 자택에 검사와 수사관들을 보내 압수수색을 진행했다. 검찰이 현직 법무부 장관의 자택을 압수수색 한 것은 이번이 처음이다.

조 장관은 압수수색 실시 직전인 오전 8시 45분경 출근을 위해 자택에서 나온 것으로 알려졌다.

김혜란 동아닷컴 기자 lastleast@donga.com
오늘의 핫이슈"
"520","‘근로정신대 강제징용 입증’ 미쓰비시 사보 첫 공개"
"521","2019-09-23 18:34"
"522","일본 내 소송 지원 나섰던 다카하시 마코토 대표 방한
""대법 판결 이후 전쟁 가해 역사 관련 강연 문의 쇄도""

태평양전쟁 당시 일제가 군수업체 노역에 강제동원한 사실을 입증할 증거로 전범기업이 펴낸 사보가 23일 공개됐다.

강제동원 피해자 소송을 돕는 일본 시민단체 ‘나고야 미쓰비시 조선여자근로정신대 소송 지원회’의 다카하시 마코토 대표는 23일오후 광주 서구 광주시의회 시민소통실에서 열린 간담회에서‘미쓰비시 중공업 사보 40년사’(1945년 8월 기준)를 공개했다.

사보는 다카하시 대표가 10여년 전 일본의 모 대학 도서관에서 찾아낸 것으로 직원근무 현황이 적혀져 있다.

현황에는 ‘공원(전체 직원)’ 수 34만7974명에 대한 구체적 분류가 적혀져 있다. 이 중 ‘보통노무자’ 외에 ‘특수노무자’ 분류 중 ‘여자정신대’가 9465명 근무했다는 기록이 있다.

주요기사
“조국 여론 심상치 않아…지도부, 출구전략 마련을”
자택PC 인턴증명서 직인없는 미완성본…檢, 최종본 조국 관여 의심

또 당시 조선인을 가리키는 ‘반도인’이라는 대분류에는 ‘징용’과 ‘비징용’ 직원이 각각 1만2913명, 171명으로 적혀져 있다.

사보 속 ‘여성정신대’와 ‘징용 반도인’이 강제동원 피해자를 정확히 가리키는지는 확인되지 않았다. 그러나 ‘여자정신대는 없었다’, ‘강제 징용은 없었다’고 줄곧 주장해 온 일본 정부와 극우 인사의 주장과는 정면으로 배치되는 자료다.

다카하시 대표는 사보 내용을 근거로 들며 “일본 사회에서 어떤 극심한 공격과 비난에도, 우리가 찾아낸 진실된 자료와 양금덕 할머니 같은 생존 증언자가 있다. 진실은 절대 지지 않는다”고 강조했다.

그러면서 “위기가 기회일 수 있다. 한일 관계가 어려운 상황이지만, 이번 기회에 과거사 문제를 매듭짓고 잘 정립한다면 우호를 더욱 돈독하게 할 수 있다고 믿는다”고 말했다.

그는 또 “한국 대법원의 배상 판결의 역사적 의미와 정당성은 오랫동안 일본 내 소송을 지원한 단체로서 잘 알고 있다”면서 “대법원 판결을 계기로 일본 사회 내 평화운동세력 사이에서는 일본의 전쟁 범죄 가해에 대한 관심이 높아지고 있다”고 설명했다.

그러면서 “일본의 평화운동 주류는 히로시마·오키나와 등 전쟁 중 피해를 입은 지역 주민들이 중심이다. 양심세력 사이에서도 근로정신대 등 일본의 전쟁 가해 책임에 대한 관심은 저조했다”고 말했다.

이어 “대법원 판결 이후 아베 정권의 대응을 보며 일본 시민들이 과거사에 눈을 뜨는 계기가 됐다. 소송 지원에 참여한 인권변호사와 관련 활동을 펼친 단체 등에 문의가 쇄도하고 있다”고 밝혔다.

또 매주 금요일마다 전범기업을 대상으로 펼치는 사죄요구 집회 등을 소개했다.
그는 “여전히 아베 정권이 집권하고 있고, ‘혐한’을 넘어서 ‘단한(관계 단절)’을 버젓이 표지에 주장하는 극단적 매체도 있다”면서도 “하지만 일본 시민사회 내 여론이 조금씩 변화하고 있는 것으로 보인다”고 역설했다.

아울러 “일부 언론에서 진행한 여론조사에 따르면 40대 이상 장년층은 한국에 대한 반감이 크지만 젊은 세대는 그렇지 않다”면서 지속적인 진실 규명을 통한 일본 내 여론 변화의 중요성을 강조했다.

다카하시 대표는 아베에 대해 “있는 사실을 취향에 맞게 다시 역사를 쓰고 있다. 가장 나쁜 역사왜곡을 자행하고 있다”고 강도높게 질타했다.

기자회견에 동석한 양금덕 피해 할머니는 “일본의 시민사회가 진실 규명, 일본 정부의 진정한 사죄와 배상을 위해 애써주는 데 고마운 마음이다. 변함없는 성원과 지지를 바란다”고 밝혔다.

다카하시 대표와 근로정신대와 함께하는 시민모임은 30여년 간 근로정신대 문제 해결에 힘쓴 일본인들을 다룬 다큐영화 ‘나고야의 바보들’을 함께 관람한다.

‘나고야의 바보들’은 이날 오후 광주시청 무등홀에서 처음 상영되며, 오는 24일 광주독립영화관에서도 관객들에 선보인다.


【광주=뉴시스】"
"523","근무지 이탈 공군 하사관 3일째 연락두절…군경 수색"
"524","2019-09-23 18:23"
"525","ⓒ News1 DB

공군 소속의 하사관이 근무지를 이탈해 경찰과 군이 수색에 나섰다.

23일 공군 38전대 등에 따르면 군수대대 소속 A 하사가 지난 20일 부대를 나간 뒤 현재까지 부대에 복귀하지 않고 있다.

A하사는 비무장 상태인 것으로 알려졌으며 이날 새벽 여자친구, 가족과 전화를 한 뒤 연락이 끊긴 것으로 전해졌다.

38전대는 군산경찰서에 협조요청을 하고 현재 영내·외 등을 수색하고 있다. 하지만 A하사의 휴대폰이 꺼져있어 수색에 어려움을 겪고 있는 것으로 알려졌다.

주요기사
“조국 여론 심상치 않아…지도부, 출구전략 마련을”
자택PC 인턴증명서 직인없는 미완성본…檢, 최종본 조국 관여 의심

(전북=뉴스1)"
"526","“조국 장관 퇴진” 서명 닷새만에 의사 5153명 참여"
"527","2019-09-23 18:17"
"528","18일 온라인 서명 시작…의협 DB로 신분확인

조국 법무부 장관 퇴진 등을 요구하는 서명에 참여한 의사들이 닷새 만인 23일 5000명을 넘어섰다.

자신들을 ‘정의가 구현되고 상식이 통하는 나라를 원하는 대한민국 의사들’(이하 대한민국 의사들)이라고 밝힌 단체는 지난 18일 오후 1시부터 시작한 서명에 이날 오후 1시부로 의사 5153명이 참여했다고 밝혔다. 총응답자 5356명 중 허수 203명을 제외하고 대한의사협회 회원정보와 일치하는 사람만 가려낸 숫자다.

의사협회 등 의사단체와 상관 없이 온라인상에서 진행된 것으로 알려진 이번 서명운동에서 이들은 ‘대한민국 의사들의 선언’이라는 제목의 글에서 조 장관 자녀에 대한 퇴교 조치를 요구했다.

‘대한민국 의사들’은 “의료인이 되기 위해 준비하는 예비의료인에게도 높은 수준의 윤리 도덕적 기준이 요구되는 것”이라면서 “허위논문(허위 저자등재), 조작된 표창장, 조작된 경력 등을 이용해 부산대 의학전문대학원에 입학함으로써 예비의사의 길에 들어서는 과정에서 부정한 방법들이 동원됐다는 사실이 밝혀졌는데도 예비의사 신분을 유지하는 것은 매우 부당한 일”이라고 비판했다.

주요기사
“조국 여론 심상치 않아…지도부, 출구전략 마련을”
자택PC 인턴증명서 직인없는 미완성본…檢, 최종본 조국 관여 의심

조 장관을 향해서도 “위 범법 행위와 부정한 행위가 일어난 곳은 법무부 장관의 가정”이라며 “법무부 장관 조국은 즉시 그 자리에서 스스로 물러나거나 해임돼야 한다”고 주장했다.

이번 서명운동 문안을 의협 회원들에게 공지해 달라는 ‘대한민국 의사들’ 요구에 의협은 25일께 상임이사회를 열고 논의할 계획이다.

【세종=뉴시스】


꼬리 무는 조국 의혹
“사퇴하기 좋은 시점”vs “검찰 고발 검토”…檢 압수수색 공방
조국, 검사들에 이메일…“검찰 개혁, 직접 듣겠다”
조국 자택 ‘11시간 압색’ 논란에…檢 “영장 추가발부 탓”"
"529","발생 일주일째 ‘확산우려’…돼지열병 유입경로 여전히 ‘미궁’"
"530","2019-09-23 18:14"
"531","김포서 ASF 의심신고…확진여부 오늘 늦게 나올 듯
잔반급여 ×, 울타리 ○…발생국 외국인 근로자 없어

치료를 위한 백신이 없어 ‘돼지 흑사병’으로 불리는 아프리카돼지열병(ASF)이 중국을 시작으로 동아시아를 덮쳐 수백만 마리가 죽어 나가고 있다. 그런 가운데 북한에 이어 국내 방역망까지 허물어지면서 방역당국이 긴장을 늦추지 않고 있다. 발생 일주일째를 맞았지만 감염 경로가 미궁에 빠져있기 때문이다.

23일 오전 경기도에서 아프리카돼지열병(ASF) 의심 신고가 또 한 차례 접수되면서 질병의 국내 확산 우려가 재차 높아진 상황이다. 지난 17일 처음으로 확진 판정이 나온 지 일주일째지만 방역 당국은 아직까지도 정확한 유입 경로를 찾아내지 못하고 있다.

이날 농림축산식품부에 따르면 이날 오전 6시40분께 경기 김포시 통진읍 소재 한 양돈 농장에서 ASF 의심 신고가 접수됐다.

어미돼지(모돈) 4마리가 분만 전 유산한 것을 농장주가 CC(폐쇄회로)TV를 통해 발견해 신고했다. 방역 당국에 신고가 접수된 후 또 다른 어미돼지 1마리가 배가 부른 채 폐사한 것으로 확인됐다. 추가로 발견된 돼지는 앞선 4마리와 달리 분만하는 과정에서 폐사했다.

주요기사
“조국 여론 심상치 않아…지도부, 출구전략 마련을”
자택PC 인턴증명서 직인없는 미완성본…檢, 최종본 조국 관여 의심

농식품부는 신고가 접수된 즉시 현장에 가축위생방역지원본부 산하 초동검역팀을 급파해 초소를 설치하는 등 현장 통제에 들어갔다. 연이어 경기도 소속 방역관들이 출동해 시료 채취를 통한 정밀 검사에 착수한 상태다. 시료는 현재 경북 김천시에 위치한 검역본부로 이송 중이다. 검사 결과는 이날 저녁 늦게 나올 것으로 농식품부는 예측하고 있다.

해당 농장은 어미돼지와 새끼돼지(자돈), 비육돈(출하돈) 등 한 농장에서 번식부터 임신, 분만, 육성 등 여러 종류의 돼지를 통합 관리하는 ‘일관 사육 방식’으로 1800여두를 기르고 있다. ASF 확진 시 반경 3㎞ 내에 있는 3275마리의 돼지가 추가 살처분 대상에 오르게 되며 해당 농장을 기준으로 10㎞의 방역대가 새롭게 설정된다.
한강 이남 지역에서는 처음으로 의심 신고가 접수된 것이어서 확진될 경우 ASF가 수도권 쪽으로 남하할 가능성을 배제할 수 없는 상황이다.

ASF가 국내에서 처음으로 발생한 지 이날로 일주일째를 맞지만, 방역 당국은 아직까지 정확한 유입 경로를 확정 짓지 못하고 있다. 농식품부는 질병의 원인을 규명하기 위한 ‘역학 조사’가 농장·시설의 위치와 주변 여건, 사람·차량·가축의 출입, 방역 전문가의 견해 등 여러 가지를 고려해야 해 시간이 다소 걸린다는 입장을 유지하고 있다.

그간 ASF의 전파 경로로 지적돼 온 것은 바이러스가 있는 잔반(남은 음식물)을 급여하거나 해외 발생국을 여행한 축산 관계자가 갖고 들어오는 축산 가공품, 야생 멧돼지를 통한 육로 등이다.

이번 김포 농장에선 돼지에 잔반을 급여하진 않았던 것으로 나타났다. 태국인 노동자가 2명 근무하고 있었지만, 태국은 공식적으로 ASF 발생국이 아니다. 현재까지 동아시아에서 ASF가 확정된 국가는 중국과 베트남, 몽골, 캄보디아, 홍콩 등이다. 다만 이들이 최근 해외여행을 다녀왔는지에 대해선 여전히 조사 중이다. 부부와 아들로 구성된 농장주 가족의 경우 지난 7월 이후 해외여행 경험은 없었던 것으로 조사됐지만, 발생국을 여행했는지 여부는 역시 조사 중에 있다. 야생 멧돼지를 차단하는 울타리는 처져 있었지만, 창이 없는 ‘무창돈사’는 아니었다.

앞서 ASF 확진 판정을 받은 파주와 연천 농가에서도 통상적으로 언급돼 온 감염 경로와는 뚜렷한 교집합이 발견되지 않은 상태다.
확진된 농가와 의심 신고가 접수된 농장 모두 임진강과 한강 주변에 위치하고 있다는 점에서 한국보다 앞서 ASF가 확진된 북한으로부터의 유입 가능성이 꾸준히 제기되고 있지만, 당국은 예단할 수 없다는 입장이다. 최근 ‘링링’(LINGLING)에 이어 ‘타파’(TAPAH)까지 태풍이 한반도에 연이어 상륙하면서 수로를 통한 전파 가능성에 무게가 실리기도 했다.

환경부는 이 같은 가능성을 토대로 북한에서 유입되는 임진강과 한탄강, 한강 하구 등이 바이러스로 오염됐는지 여부를 조사하고 있다. 이 검사는 다음 달 초까지 진행할 계획이다. ASF 발생 지역에 포획 틀을 설치해 인근 멧돼지의 바이러스 감염 여부도 조사하는 중이다. 발생 농가로부터 반경 20㎢를 관리 지역으로 설정해 멧돼지 폐사체나 이상 개체가 있는지 확인하는 예찰 활동도 병행하고 있다.

방역 당국은 정확한 원인을 규명하지 못한 채 생석회 도포 등 소독 작업에 열을 올리고 있다. 비바람으로 생석회가 씻겨 내려갔을 가능성이 있는 일부 지역을 중심으로 소독의 강도를 높이고 사람·차량의 출입을 통제하는 초소도 확대할 계획이다.

【세종=뉴시스】
아프리카돼지열병 국내 첫 발생
‘아프리카돼지열병 확산 우려’…최대 축산단지 충남 위기감 고조
ASF 정밀검사 ‘음성’ 판정 사흘만에 ‘확진’ 허점 드러냈다
ASF 발생 김포 돼지농장 방문 사료차량, 충북 음성·진천 경유"
"532","다이아린, ‘대한민국을 빛낸 자랑스런 인물 대상’서 사회공헌 부분 대상"
"533","2019-09-23 18:08"
"534","(주)다이아린은 서울 여의도 국회의원회관 대강당에서 열린 ‘대한민국을 빛낸 자랑스런 인물 대상’ 시상식에서 ‘사회공헌’ 부문 대상을 수상했다고 23일 밝혔다.

다이아린 측은 라돈 걱정 없는 천연 라텍스 매트리스와 침구류를 개발, 친환경 제품을 공급해 ‘국민건강 및 생활안전 기여 공로’가 인정 돼 사회공헌(친환경 침구개발) 부문 대상에 선정됐다고 수상 배경을 전했다.

업체 관계자는 “다이아린은 ‘개성 있는 테마와 콘셉트, 소비자 시점에서의 제품개발’이라는 슬로건으로 출발하며 개발의 기조는 환경오염 문제에 대한 인식”이라며 “자연으로부터 나고 자란 인간에게 가장 친숙한 제품은 자연 친화적인 요소들을 활용한 제품이기에 소비자가 믿고 사용할 수 있는 제품 생산을 위해 노력할 것”이라고 말했다.

다이아린에 따르면 말레이시아 산 100% 라텍스 천연고무를 사용해 매트리스, 바디필로우, 베개, 방석 등 침구용품을 생산하며 모든 제품은 유해 성분검사(ECO ISTITUTE 인증)와 각종 국제 품질 인증기관을 통해 성분 분석 및 인증을 통해 안정성을 확보했다.

주요기사
“조국 여론 심상치 않아…지도부, 출구전략 마련을”
자택PC 인턴증명서 직인없는 미완성본…檢, 최종본 조국 관여 의심

한편, 대한민국을 빛낸 자랑스런 인물 대상은 새한그룹 유로저널 한국본사가 주최하고 새한일보, 서울매일, CTS기독교TV 등에서 주관했다. 경제, 사회, 문화 등 분야별 전문가들과 교수들의 심사평가로 수상자 및 수상기업을 선정했다.


박해식 동아닷컴 기자 pistols@donga.com
오늘의 핫이슈"
"535","[청계천 옆 사진관]카메라로 상상과 꿈의 세계를 그려내다"
"536","2019-09-23 17:55"
"537","- 김경수 작가의 아바타 사진전 열려
- 19일부터 한국카메라박물관에서 올해의 사진가 초대전
- 디지털 카메라로 그려낸 아바타의 상상여행
Avatar #03_Inkjet Pigment Print_50x75cm_2019

디지털 카메라로 상상과 환상의 꿈을 그려낸 김경수 작가의 [아바타: 환상 꿈]展이 지난 19일 개막되어 한국카메라박물관 사진전시실에서 전시중이다.2019년 한국카메라박물관(관장 김종세) 올해의 사진가로 선정된 김경수 초대 사진전은 10월 19일까지 한 달 동안 한국카메라박물관 사진전시실에서 진행된다.

김경수 작가는 자신이 꿈꾸는 상상과 환상의 세계를 사진 속 ‘아바타’를 통해 풀어냈다. 그의 모든 작품은 카메라의 노출계에 의존하지 않고, 어두운 공간에서 오로지 감각에만 의존해서 4색의 작은 조명으로 몇 분 동안 그려내는 독특한 방식으로 만들어졌다. 이번 전시에서는 17점의 신작을 포함하여 모두 30점의 작품이 공개됐다…

김경수 작가가 19일 오후 경기도 과천시 한국카메라박물관 사진전시실에서 열린 자신의 ‘아바타’ 사진전 개막식에서 인사말을 하고 있다.
김경수 작가가 19일 오후 경기도 과천시 한국카메라박물관 사진전시실에서 열린 자신의 ‘아바타’ 사진전 개막식에서 참석자들에게 작품설명을 하고있다.(사진제공 한국카메라박물관)
어릴 적부터 꿈이 많았다는 김 작가는 “아바타라는 영화를 처음 보았을 때 느꼈던 감동과 전율은 아직도 잊을 수 없다”고 말한다. 작가에게 있어서 아바타는 세상과 소통하는 창구이자 세상으로부터 도피하는 수단이었기 때문이다. 항상 새로운 방식의 작업으로 사진의 시각을 확장시켜나고 있는 김작가의 ‘아바타’가 이번에는 어떤 모습으로 구현될 지 관심이 주목되고 있다.
Avatar #13_Inkjet Pigment Print_50x75cm_2019
Avatar #24_Inkjet Pigment Print_76x114cm_2019

한편 김경수작가 초대사진전 개막과 함께 한국카메라박물관에서는 Rollei 카메라 출시 100주년 기념으로 “롤라이플렉스 & 세계이안반사식 카메라 특별전”도 열려 추억의 필름시대의 명품 카메라들을 직접 대하고 사진의 역사를 살펴볼 수 있는 기회를 제공한다. 이 전시회는 오는 10월31일까지 열린다.

한국카메라박물관은 2000년 개관해 2007년 현재 위치한 경기도 과천시 대공원광장로 8(막계동)에 신축 개관한 전문박물관이다. 3,000여점이 넘는 카메라와 6,000여점의 각종 렌즈 그리고 유리원판 필름, 초기 환등기, 사진인화장비, 각종 액세서리 등을 합하면 무려 15,000여점 넘는 유물들을 소장하고 있다.

주요기사
“조국 여론 심상치 않아…지도부, 출구전략 마련을”
자택PC 인턴증명서 직인없는 미완성본…檢, 최종본 조국 관여 의심

글= 동아일보 편집국 사진부 김동주기자 .zoo@donga.com

한국카메라박물관 올해의 사진가 초대전
김경수 ‘아바타: 환상 꿈’ 사진전

▷ 전시제목 : 아바타: 환상 꿈 (Avatar: Fantasy Dream)
▷ 전시기간 : 2019. 09. 19(목) ~ 10. 19(토)
▷ 전시장소 : 한국카메라박물관 사진전시실 (경기도 과천시 대공원광장로 8)
지하철 4호선 대공원역 4번 출구에서 20m
▷ 오프닝 : 2019년 9월 19일 오후 5시
▷ 관람시간 : AM 10:00 ~ PM 6:00 (휴관일: 일요일, 월요일, 명절)
▷ 입장료 : 경로 4,000원, 성인 5,000원, 청소년 4,000원, 어린이 3,000원


청계천 옆 사진관
카메라로 상상과 꿈의 세계를 그려내다
‘변호사들의 올림픽’ 세계변호사협회 서울총회 개막
동대문 제일평화시장 화재…10시간 넘게 진화작업"
"538","윤석열 부인 익성 이사설…대검 “조국 수사 방해 의도”"
"539","2019-09-23 17:54"
